source_id,nombre_actual,nivel_actual,dominio_actual,accion_propuesta,canonical_id,hallazgo_principal
1,Remo en anillas,Principiante,Gymnastic,KEEP_VARIANT,ring_row,metadata_backfill
2,Flexiones,Principiante,Gymnastic,KEEP_CANONICAL,push_up,metadata_backfill
3,Sentadillas al aire,Principiante,Gymnastic,KEEP_CANONICAL,air_squat,metadata_backfill
4,Plancha,Principiante,Gymnastic,KEEP_VARIANT,front_plank,isometric_dose_separate
5,Saltos de tijera,Principiante,Gymnastic,RECLASSIFY,jumping_jack,domain_should_mono
6,Subidas a cajon,Principiante,Gymnastic,MERGE_DOSAGE,box_step_up,dose_not_identity
7,Abdominales,Principiante,Gymnastic,RENAME_VARIANT,abmat_sit_up,ambiguous_name
8,Burpees escalado,Principiante,Gymnastic,MERGE_VARIANT,burpee,scale_not_identity
9,Sentadilla goblet,Principiante,Weightlifting,KEEP_VARIANT,goblet_squat,metadata_backfill
10,Press con mancuernas,Principiante,Weightlifting,RENAME_VARIANT,dumbbell_strict_press,press_type_ambiguous
11,Balanceo KB ruso,Principiante,Weightlifting,KEEP_VARIANT,kettlebell_swing_russian,metadata_backfill
12,Peso muerto rumano,Principiante,Weightlifting,KEEP_VARIANT,romanian_deadlift,metadata_backfill
13,Remo mancuerna,Principiante,Weightlifting,KEEP_VARIANT,dumbbell_row,side_and_support_missing
14,Sentadillas frontales ligero,Principiante,Weightlifting,MERGE_DOSAGE,front_squat,load_not_identity
15,Lanzamientos pared ligero,Principiante,Weightlifting,MERGE_DOSAGE,wall_ball_shot,load_not_identity
16,Push press ligero,Principiante,Weightlifting,MERGE_DOSAGE,push_press,load_not_identity
17,Remo lento,Principiante,Monostructural,MERGE_DOSAGE,row_erg,duration_intensity_not_identity
18,Assault Bike moderado,Principiante,Monostructural,MERGE_DOSAGE,air_bike,intensity_not_identity
19,Carrera suave,Principiante,Monostructural,MERGE_DOSAGE,run,intensity_not_identity
20,Single unders,Principiante,Monostructural,KEEP_VARIANT,single_under,metadata_backfill
21,Ski Erg moderado,Principiante,Monostructural,MERGE_DOSAGE,ski_erg,intensity_not_identity
22,Walking lunges,Principiante,Gymnastic,KEEP_VARIANT,walking_lunge,metadata_backfill
