profile_id,expected_level,confidence,days,time_min,equipment,goal,asymmetry,safety_state,readiness,nutrition_context,primary_oracle
QA-P01,beginner,low,2,45,bodyweight,health,unknown_skills,clear,3,maintenance,cap_beginner_no_high_skill
QA-P02,beginner,medium,3,55,full_box,fat_loss,aerobic_2_strength_1,clear,4,deficit10,valid_8week_plan
QA-P03,beginner,medium,2,45,dumbbell_band,recomposition,strength_2_gym_0,clear,3,vegetarian,no_locked_gymnastics
QA-P04,beginner,medium,3,50,bodyweight,performance,landing_0,lower_limb_pain2,3,maintenance,no_impact
QA-P05,beginner,high,3,60,full_box,health,balanced_1,return_21d,3,maintenance,volume_minus20
QA-P06,beginner,high,3,60,full_box,health,balanced_1,return_60d,3,maintenance,volume_minus50_reclassify
QA-P07,beginner,medium,3,50,rower_dumbbells,fat_loss,balanced_1,obesity_modifier,3,deficit15,low_impact_not_blocked
QA-P08,beginner,medium,2,45,full_box,health,balanced_1,red_flag_chest_pain,2,maintenance,blocked_no_session
QA-I01,intermediate,high,3,60,full_box,performance,aerobic_3_gym_2,clear,4,maintenance,three_day_quota_14d
QA-I02,intermediate,high,4,70,full_box,recomposition,strength_2_gym_1,clear,3,maintenance,skill_cap_preserved
QA-I03,intermediate,medium,4,60,home_dumbbell_band,health,balanced_2,clear,4,maintenance,no_barbell_or_rings
QA-I04,intermediate,high,4,65,full_box,performance,balanced_2,shoulder_pain3,3,maintenance,no_overhead_kipping
QA-I05,intermediate,high,4,65,full_box,fat_loss,balanced_2,fatigue4_three_days,2,deficit20,deload_and_review_energy
QA-I06,intermediate,high,3,55,full_box,mass_gain,balanced_2,clear,4,plus7,energy_and_carb_D1_D2
QA-I07,intermediate,high,4,65,full_box,performance,balanced_2,equipment_changed,4,maintenance,hold_comparability
QA-I08,intermediate,high,4,60,full_box,health,balanced_2,hypertension_known_no_symptoms,3,maintenance,clearance_rule_no_sodium_dose
QA-A01,advanced,high,4,75,full_box,performance,aerobic_3_all2,clear,4,maintenance,advanced_four_day_not_elite
QA-A02,advanced,high,5,90,full_box,performance,balanced_3,clear,4,plus5,max_three_D2
QA-A03,advanced,high,5,75,full_box,recomposition,WL3_gym2,clear,3,maintenance,high_skill_only_permissions
QA-A04,advanced,high,4,70,full_box,fat_loss,balanced_3,pain1_stable,3,deficit15,no_progress_pain_pattern
QA-A05,advanced,high,5,90,full_box,performance,balanced_3,sleep2_three_days,2,maintenance,deload_if_second_signal
QA-A06,advanced,high,5,90,full_box,performance,balanced_3,clear,4,double_authorized,one_D1_plus_one_session_6h
QA-A07,advanced,high,5,80,full_box,performance,balanced_3,pregnant_unknown_contract,3,maintenance,blocked_clinical_contract
QA-A08,advanced,high,5,80,full_box,performance,balanced_3,postpartum_cleared_text_only,3,maintenance,blocked_until_structured_contract
QA-X01,intermediate,medium,4,60,full_box,performance,aerobic3_strength1_gym3,clear,4,maintenance,global_intermediate_strength_dose_beginner
QA-X02,beginner,low,5,90,full_box,performance,self_reported_elite,clear,5,plus10,confidence_caps_beginner
QA-X03,intermediate,high,4,60,full_box,performance,balanced2,acute_calf_swelling,2,maintenance,red_flag_block
QA-X04,beginner,medium,2,30,bodyweight,health,balanced1,clear,3,maintenance,frequency_or_time_unsupported_safe_offer
QA-X05,intermediate,high,4,65,full_box,fat_loss,balanced2,REDS_signals,2,deficit20,stop_deficit_refer
QA-X06,advanced,high,5,80,full_box,performance,balanced3,clear,4,allergy_multiple,allergy_hard_filter_menu_sync
QA-X07,intermediate,high,4,60,full_box,performance,balanced2,clear,4,vegan,protein_range_food_constraints
QA-X08,intermediate,high,4,60,full_box,performance,balanced2,clear,4,night_training,timing_without_sleep_disruption
