canonical_id,name,aliases,entity_type,domain,category,pattern,equipment,min_level,skill_prerequisites,stimulus,time_domains,scaling_rule,technique_set,cues_set,error_set,contra_set,regressions,progressions,substitutions,pairing_tags,avoid_pairing,strength_block,benchmark_relation,media_status
ring_row,Ring row,remo en anillas;inverted ring row,movement,gymnastics,pull,horizontal_pull,rings,beginner,brace_1,strict_pull,short;medium,body_angle,RING_ROW,PULL,PULL,UPPER_LIMB,band_row,feet_forward;strict_pull_up,db_row,pull;horizontal,high_grip,yes,none,existing_unverified
push_up,Push-up,flexion;flexiones,movement,gymnastics,push,horizontal_push,none,beginner,brace_1,strict_push,short;medium,height_or_knee,PUSH_UP,PUSH,PUSH,WRIST_SHOULDER,wall_push;incline_push,hand_release_push_up,db_floor_press,push;horizontal,high_press,yes,none,existing_unverified
air_squat,Air squat,sentadilla al aire,movement,gymnastics,squat,squat,none,beginner,squat_1,cyclical_leg,short;medium,range_or_target,AIR_SQUAT,SQUAT,SQUAT,KNEE_HIP,box_squat,goblet_squat,bike,squat;legs,heavy_squat,yes,none,existing_unverified
front_plank,Front plank,plancha,movement,accessory,core,brace,none,beginner,brace_1,isometric,short;medium,lever_or_seconds,PLANK,BRACE,BRACE,LUMBAR_SHOULDER,incline_plank,hollow_hold,dead_bug,core,isometric_core,yes,none,existing_unverified
jumping_jack,Jumping jack,saltos de tijera,movement,monostructural,cardio,cyclical_impact,none,beginner,landing_1,low_skill_aerobic,short;medium,step_jack_or_cadence,JUMP_BASIC,LANDING,LANDING,LOWER_LIMB,step_jack,jumping_jack,air_bike,mono;impact,impact_quota,no,none,missing
box_step_up,Box step-up,subida a cajon;fast step-up,movement,gymnastics,legs,step,box,beginner,squat_1,cyclical_leg,short;medium,height_load_cadence,STEP_UP,SQUAT,SQUAT,KNEE_HIP,low_step,weighted_step_up,bike,step;legs,heavy_squat,no,none,existing_unverified
abmat_sit_up,AbMat sit-up,abdominales;sit-up,movement,gymnastics,core,trunk_flexion,abmat_optional,beginner,brace_1,cyclical_core,short;medium,range_or_reps,SIT_UP,BRACE,BRACE,LUMBAR_HIP,dead_bug,abmat_sit_up,hollow_rock,core;trunk_flexion,ghd_volume,no,none,existing_unverified
burpee,Burpee,burpee escalado;burpee rx,movement,gymnastics,full_body,sprawl,none,beginner,push_1;landing_1,high_metabolic,short;medium,step_back_or_no_push,BURPEE,BRACE,LANDING,WRIST_SHOULDER;LOWER_LIMB,elevated_burpee,burpee;burpee_box_jump,air_bike,full_body;impact,high_press;impact_quota,no,none,existing_unverified
goblet_squat,Goblet squat,sentadilla goblet,movement,weightlifting,squat,squat,dumbbell_or_kettlebell,beginner,squat_1,loaded_squat,short;medium,load_range,GOBLET_SQUAT,SQUAT,SQUAT,KNEE_HIP,air_squat,front_squat,box_squat,squat;load,heavy_squat,yes,none,existing_unverified
dumbbell_strict_press,Dumbbell strict press,press con mancuernas,movement,weightlifting,press,vertical_push,dumbbells,beginner,overhead_1,strict_press,short;medium,load_or_landmine,DB_PRESS,PRESS,PRESS,SHOULDER_WRIST,landmine_press,barbell_strict_press,push_up,push;overhead,high_press,yes,none,existing_unverified
kettlebell_swing_russian,Russian kettlebell swing,balanceo kb ruso,movement,weightlifting,hinge,hinge,kettlebell,beginner,hinge_1,power_endurance,short;medium,load_or_deadlift,KB_SWING,HINGE,HINGE,LUMBAR_HAMSTRING,kb_deadlift,kb_swing_american,row_erg,hinge;power,heavy_hinge;lumbar_high,yes,none,existing_unverified
romanian_deadlift,Romanian deadlift,peso muerto rumano,movement,weightlifting,hinge,hinge,barbell_or_dumbbells,beginner,hinge_1,strength_hinge,short,load_range,RDL,HINGE,HINGE,LUMBAR_HAMSTRING,band_good_morning,deadlift,glute_bridge,hinge;strength,heavy_hinge,yes,none,existing_unverified
dumbbell_row,One-arm dumbbell row,remo mancuerna,movement,weightlifting,pull,horizontal_pull,dumbbell_and_support,beginner,brace_1,strict_pull,short;medium,load_or_support,DB_ROW,PULL,PULL,UPPER_LIMB,band_row,dumbbell_row,ring_row,pull;horizontal,high_grip,yes,none,existing_unverified
front_squat,Front squat,sentadilla frontal,movement,weightlifting,squat,squat,barbell,beginner,squat_1;front_rack_1,strength_squat,short,load_and_range,FRONT_SQUAT,SQUAT,SQUAT,KNEE_HIP;WRIST_SHOULDER,goblet_squat,front_squat,box_squat,squat;front_rack,heavy_squat,yes,none,existing_unverified
wall_ball_shot,Wall-ball shot,lanzamiento pared;wall ball,movement,weightlifting,full_body,squat_press,medicine_ball_and_target,beginner,squat_1;overhead_1,cyclical_full_body,short;medium,ball_target_reps,WALL_BALL,SQUAT;PRESS,SQUAT;PRESS,KNEE_HIP;SHOULDER_WRIST,light_target_squat,wall_ball_shot,air_squat_or_bike,squat;overhead,heavy_squat;high_press,no,none,existing_unverified
push_press,Push press,push press ligero,movement,weightlifting,press,vertical_push,barbell_or_dumbbells,beginner,overhead_1;dip_drive_1,power_press,short;medium,load_or_db,PUSH_PRESS,PRESS,PRESS,SHOULDER_WRIST,dumbbell_push_press,push_jerk,landmine_press,push;overhead,high_press,yes,none,existing_unverified
row_erg,Row ergometer,remo;row 500m;row 1000m;row 2k,movement,monostructural,cardio,cyclical_pull,rower,beginner,hinge_1,aerobic_or_power,sprint;short;medium;long,distance_calories_time,ROW_ERG,PACING,PACING,LUMBAR_KNEE,short_stroke_drill,row_erg,ski_erg,mono;pull,high_grip;heavy_hinge,no,benchmark_entity_separate,media_missing
air_bike,Air bike,assault bike;bike,movement,monostructural,cardio,cyclical,air_bike,beginner,none,aerobic_or_power,sprint;short;medium;long,calories_time_output,AIR_BIKE,PACING,PACING,KNEE_HIP,easy_cadence,air_bike,bike_erg,mono;low_skill,leg_power_collision,no,benchmark_entity_separate,media_missing
run,Run,carrera;run mile;run 5k,movement,monostructural,cardio,cyclical_impact,space_or_treadmill,beginner,landing_1,aerobic_or_speed,sprint;short;medium;long;extended,distance_time_pace,RUN,PACING,LANDING,LOWER_LIMB,walk_run,run,air_bike;row_erg,mono;impact,impact_quota,no,benchmark_entity_separate,media_missing
single_under,Single-under,single under,movement,monostructural,cardio,cyclical_impact,jump_rope,beginner,landing_1,coordination_aerobic,short;medium,reps_or_time,SINGLE_UNDER,LANDING,LANDING,LOWER_LIMB,penguin_tap,double_under,fast_step,mono;impact,impact_quota,no,none,existing_unverified
ski_erg,Ski ergometer,ski erg;ski 500m;ski 1000m,movement,monostructural,cardio,cyclical_pull,ski_erg,beginner,brace_1,aerobic_or_power,sprint;short;medium;long,distance_calories_time,SKI_ERG,PACING,PACING,SHOULDER_LUMBAR,easy_pull,ski_erg,row_erg,mono;pull,high_grip;high_press,no,benchmark_entity_separate,media_missing
walking_lunge,Walking lunge,walking lunges,movement,gymnastics,legs,lunge,none_or_load,beginner,lunge_1,unilateral_leg,short;medium,range_support_load,LUNGE,SQUAT,SQUAT,KNEE_HIP,supported_split_squat,loaded_walking_lunge,box_step_up,lunge;unilateral,heavy_squat,no,none,existing_unverified
