id,scope,condition,severity,action,reason_code,test_id
CF-EX-001,exercise,active_and_catalog_version_match,ERROR,reject,CATALOG_INACTIVE,T-EX-001
CF-EX-002,exercise,equipment_subset_user_equipment,ERROR,reject,EQUIPMENT_UNAVAILABLE,T-EX-002
CF-EX-003,exercise,skill_tier_lte_permission,ERROR,reject,SKILL_LOCKED,T-EX-003
CF-EX-004,exercise,no_active_contraindication,ERROR,reject,SAFETY_CONTRAINDICATED,T-EX-004
CF-EX-005,exercise,dose_within_level_range,ERROR,reject,DOSE_OUT_OF_RANGE,T-EX-005
CF-EX-006,exercise,instructions_present,ERROR,reject,CATALOG_INSTRUCTIONS_MISSING,T-EX-006
CF-EX-007,exercise,media_verified_if_visual_required,WARN,prefer_text_or_other,MEDIA_UNVERIFIED,T-EX-007
CF-WOD-001,wod,format_allowed_for_level,ERROR,reject,WOD_FORMAT_NOT_ALLOWED,T-WOD-001
CF-WOD-002,wod,time_cap_within_format_level,ERROR,reject,WOD_CAP_INVALID,T-WOD-002
CF-WOD-003,wod,predicted_completion_between_70_and_95pct_cap,ERROR,rescale,WOD_STIMULUS_MISS,T-WOD-003
CF-WOD-004,wod,set_lte_60pct_fresh_capacity,ERROR,rescale,WOD_SET_TOO_LARGE,T-WOD-004
CF-WOD-005,wod,olympic_reps_and_load_within_level,ERROR,reject,WOD_OLY_VOLUME,T-WOD-005
CF-WOD-006,wod,at_most_one_high_skill_and_unlocked,ERROR,reject,WOD_HIGH_SKILL_COLLISION,T-WOD-006
CF-WOD-007,wod,no_avoid_pairing_pair,ERROR,backtrack,WOD_PAIRING_PROHIBITED,T-WOD-007
CF-WOD-008,wod,stimulus_delta_abs_lte_0.15,ERROR,rescale,WOD_SCALE_STIMULUS_LOSS,T-WOD-008
CF-WOD-009,wod,score_type_matches_format,ERROR,reject,WOD_SCORE_TYPE_INVALID,T-WOD-009
CF-SES-001,session,warmup_covers_primary_patterns,ERROR,regenerate,SESSION_WARMUP_GAP,T-SES-001
CF-SES-002,session,strength_metcon_interference_valid,ERROR,regenerate,SESSION_INTERFERENCE,T-SES-002
CF-SES-003,session,high_joint_load_within_cap,ERROR,regenerate,SESSION_JOINT_LOAD,T-SES-003
CF-SES-004,session,total_duration_lte_user_time,ERROR,trim_optional,SESSION_TIME_EXCEEDED,T-SES-004
CF-SES-005,session,stop_rules_present,ERROR,reject,SESSION_STOP_RULES_MISSING,T-SES-005
CF-SES-006,session,planned_training_load_valid,ERROR,reject,TRAINING_LOAD_INVALID,T-SES-006
CF-SES-007,session,decision_trace_nonempty,ERROR,reject,TRACE_MISSING,T-SES-007
CF-WEEK-001,week,no_D2_consecutive_beginner_intermediate,ERROR,regenerate,WEEK_D2_SEQUENCE,T-WEEK-001
CF-WEEK-002,week,advanced_max_two_consecutive_demanding_then_D0_D1,ERROR,regenerate,WEEK_D2_SEQUENCE,T-WEEK-002
CF-WEEK-003,week,heavy_hinge_spacing_valid,ERROR,regenerate,WEEK_HINGE_COLLISION,T-WEEK-003
CF-WEEK-004,week,impact_quota_by_level,ERROR,regenerate,WEEK_IMPACT_QUOTA,T-WEEK-004
CF-WEEK-005,week,grip_overhead_lumbar_exposure_lte_2,ERROR,regenerate,WEEK_TISSUE_QUOTA,T-WEEK-005
CF-WEEK-006,week,domain_pattern_quotas_met,WARN,trace_or_regenerate,WEEK_DOMAIN_GAP,T-WEEK-006
CF-WEEK-007,week,benchmark_spacing_valid,ERROR,regenerate,BENCHMARK_TOO_FREQUENT,T-WEEK-007
CF-WEEK-008,week,movement_D2_spacing_gte_72h,ERROR,regenerate,MOVEMENT_REPEATED_TOO_SOON,T-WEEK-008
CF-BLOCK-001,block,deload_at_ruleset_weeks,ERROR,regenerate,BLOCK_DELOAD_MISSING,T-BLOCK-001
CF-BLOCK-002,block,progress_one_variable_per_session,ERROR,regenerate,BLOCK_MULTI_PROGRESS,T-BLOCK-002
CF-BLOCK-003,block,no_new_skill_during_deload,ERROR,regenerate,BLOCK_SKILL_IN_DELOAD,T-BLOCK-003
CF-BLOCK-004,block,named_benchmark_spacing_8_to_12w,ERROR,regenerate,BENCHMARK_TOO_FREQUENT,T-BLOCK-004
CF-USER-001,user,red_flag_false,ERROR,block,SAFETY_RED_FLAG,T-USER-001
CF-USER-002,user,pain_lt_5_and_not_sharp_rising,ERROR,block,SAFETY_PAIN_BLOCK,T-USER-002
CF-USER-003,user,confidence_supports_level,ERROR,lower_level,LEVEL_CONFIDENCE_LOW,T-USER-003
CF-USER-004,user,return_volume_reduction_applied,ERROR,regenerate,RETURN_PROTOCOL_REQUIRED,T-USER-004
CF-USER-005,user,availability_frequency_valid,ERROR,offer_minimum,FREQUENCY_UNSUPPORTED,T-USER-005
CF-SYS-001,system,same_inputs_same_revision_same_normalized_json,ERROR,fail_generation,IDEMPOTENCY_BROKEN,T-SYS-001
CF-SYS-002,system,historical_completed_session_immutable,ERROR,abort_regeneration,HISTORY_IMMUTABLE,T-SYS-002
CF-SYS-003,system,search_nodes_lte_500,WARN,use_fallback,GEN_SEARCH_BUDGET_EXCEEDED,T-SYS-003
CF-SYS-004,system,no_AI_output_bypasses_validator,ERROR,discard_AI,AI_VALIDATION_FAILED,T-SYS-004
